"","Broadleaved woodland","Coniferous Woodland","Arable and Horticulture","Improved Grassland","Neutral Grassland","Calcareous Grassland","Acid grassland","Fen, Marsh and Swamp","Freshwater","Mountain_Heath_Bog","UrbanSuburban","MEM1","MEM2","MEM3","MEM4","MEM5","MEM6","MEM7","MEM8","MEM9","MEM10"
"SD91",4.12,0.04,1.54,25.69,0.21,0,19.5,0,2.84,32.93,13.19,-0.32138829731305,-5.46890747006056e-05,-0.169025618668186,0.712624564947394,-0.159673790608546,0.599627439354721,1.17926217628809,1.26177041874377,0.66144452641496,-0.955240660345713
"SD92",12.06,0.04,0,24.34,0.33,0.01,23.41,0,1.02,35.7,3.24,-0.318995960437899,-5.57924687474896e-05,-0.16178162927451,0.632216306374582,-0.141809901892855,0.534347408552454,1.05084373497601,1.12439188215341,0.589446324463195,-0.853010553743022
"SD93",1.34,0.13,0,17.57,0,0,13.88,0,1.61,65.26,0.33,-0.314700734432574,-5.56730489306154e-05,-0.152043535297861,0.548307405420093,-0.12308228992638,0.465291168209355,0.914988401219402,0.979039072030577,0.513260255959195,-0.744071518859368
"SD94",2.6,1.42,0.91,68.36,0.25,2.09,7.97,0.04,0.19,14.22,2.1,-0.306990058435175,-5.43025804998256e-05,-0.139307780909149,0.461390233978555,-0.103618059005009,0.392939479085948,0.772651422438281,0.826738730168685,0.433425635331718,-0.629273905461986
"SD95",5.35,1.78,0.76,72.46,0,4.73,3.59,0,0.14,7.61,3.69,-0.29314903401644,-5.1357920967747e-05,-0.122915912945639,0.371975112993925,-0.0835493799303729,0.317796300132879,0.624834123776287,0.668567212555335,0.350507887025013,-0.509514206595242
"SD96",2.3,0.14,0.16,22.13,0.01,57.92,3.18,0,0.16,13.71,0.42,-0.268304712711928,-4.61448533139705e-05,-0.102020565203564,0.280587323872491,-0.063012594316898,0.240385287258362,0.472576881568542,0.505642901333103,0.265094550843503,-0.385728073632607
"SD97",2.05,0.02,0.06,8.35,0.5,44.57,16.29,0,0,28.18,0.2,-0.223710704447725,-3.74344497422418e-05,-0.0755416838288812,0.187764028718043,-0.0421472897094699,0.161246151534136,0.3169518154066,0.339118312564871,0.177791126891816,-0.258883019491795
"SD98",1.05,0.42,0.11,17.28,0.38,33.73,18.92,0.22,0.3,27.61,0.03,-0.143668259791276,-2.31733962797156e-05,-0.0421107330790758,0.0940511174094225,-0.0210953517755071,0.0809309021167845,0.159055250034395,0.170171955390991,0.0892167894384108,-0.129970866817544
"SE00",1.36,0.45,0.01,5.1,0.25,1.2,24.26,0,1.29,65.5,0.74,-0.322720319631112,-5.13910790759716e-05,-0.177783442547305,-0.49972173097046,1.38937582691815,1.09206907926042,-0.17348342676813,-1.298535988103,-0.978242038582613,-1.18658285508389
"SE01",8.67,0.13,0.19,28.89,0.2,13.11,21.6,0,2.12,20.21,5.02,-0.321388238305525,-5.42491575986256e-05,-0.17189296132451,-0.452786385270347,1.26029225564447,0.991017102165765,-0.157272102660406,-1.17840409380655,-0.887808325396218,-1.07951101037104
"SE02",15.81,0.07,0.42,42.34,0.06,2.64,12.02,0,0.21,8.74,17.82,-0.318995930277345,-5.55206944906781e-05,-0.164031253902946,-0.402974916409287,1.12254430865331,0.883006486548212,-0.139990919526021,-1.04995834762142,-0.791091427076156,-0.963961526794161
