Disp,comp_str,R_max,EnvNoiseSigma,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
6.30957344480193e-4,0.56,41,0.001,A,160,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.56,41,0.001,A,161,TrialLatin,50,0.1,0.01
0.01,0.56,41,0.001,A,162,TrialLatin,50,0.1,0.01
1e-5,0.74,41,0.001,A,163,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.74,41,0.001,A,164,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.74,41,0.001,A,165,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.74,41,0.001,A,166,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.74,41,0.001,A,167,TrialLatin,50,0.1,0.01
0.01,0.74,41,0.001,A,168,TrialLatin,50,0.1,0.01
1e-5,0.9200000000000002,41,0.001,A,169,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.9200000000000002,41,0.001,A,170,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.9200000000000002,41,0.001,A,171,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.9200000000000002,41,0.001,A,172,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.9200000000000002,41,0.001,A,173,TrialLatin,50,0.1,0.01
0.01,0.9200000000000002,41,0.001,A,174,TrialLatin,50,0.1,0.01
1e-5,1.1,41,0.001,A,175,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,1.1,41,0.001,A,176,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,1.1,41,0.001,A,177,TrialLatin,50,0.1,0.01
6.30957344480193e-4,1.1,41,0.001,A,178,TrialLatin,50,0.1,0.01
0.0025118864315095794,1.1,41,0.001,A,179,TrialLatin,50,0.1,0.01
0.01,1.1,41,0.001,A,180,TrialLatin,50,0.1,0.01
1e-5,0.2,50,0.001,A,181,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.2,50,0.001,A,182,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.2,50,0.001,A,183,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.2,50,0.001,A,184,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.2,50,0.001,A,185,TrialLatin,50,0.1,0.01
0.01,0.2,50,0.001,A,186,TrialLatin,50,0.1,0.01
1e-5,0.38,50,0.001,A,187,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.38,50,0.001,A,188,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.38,50,0.001,A,189,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.38,50,0.001,A,190,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.38,50,0.001,A,191,TrialLatin,50,0.1,0.01
0.01,0.38,50,0.001,A,192,TrialLatin,50,0.1,0.01
1e-5,0.56,50,0.001,A,193,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.56,50,0.001,A,194,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.56,50,0.001,A,195,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.56,50,0.001,A,196,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.56,50,0.001,A,197,TrialLatin,50,0.1,0.01
0.01,0.56,50,0.001,A,198,TrialLatin,50,0.1,0.01
1e-5,0.74,50,0.001,A,199,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.74,50,0.001,A,200,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.74,50,0.001,A,201,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.74,50,0.001,A,202,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.74,50,0.001,A,203,TrialLatin,50,0.1,0.01
0.01,0.74,50,0.001,A,204,TrialLatin,50,0.1,0.01
1e-5,0.9200000000000002,50,0.001,A,205,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.9200000000000002,50,0.001,A,206,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.9200000000000002,50,0.001,A,207,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.9200000000000002,50,0.001,A,208,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.9200000000000002,50,0.001,A,209,TrialLatin,50,0.1,0.01
0.01,0.9200000000000002,50,0.001,A,210,TrialLatin,50,0.1,0.01
1e-5,1.1,50,0.001,A,211,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,1.1,50,0.001,A,212,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,1.1,50,0.001,A,213,TrialLatin,50,0.1,0.01
6.30957344480193e-4,1.1,50,0.001,A,214,TrialLatin,50,0.1,0.01
0.0025118864315095794,1.1,50,0.001,A,215,TrialLatin,50,0.1,0.01
0.01,1.1,50,0.001,A,216,TrialLatin,50,0.1,0.01
1e-5,0.2,5,0.0025118864315095794,A,217,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.2,5,0.0025118864315095794,A,218,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.2,5,0.0025118864315095794,A,219,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.2,5,0.0025118864315095794,A,220,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.2,5,0.0025118864315095794,A,221,TrialLatin,50,0.1,0.01
0.01,0.2,5,0.0025118864315095794,A,222,TrialLatin,50,0.1,0.01
1e-5,0.38,5,0.0025118864315095794,A,223,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.38,5,0.0025118864315095794,A,224,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.38,5,0.0025118864315095794,A,225,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.38,5,0.0025118864315095794,A,226,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.38,5,0.0025118864315095794,A,227,TrialLatin,50,0.1,0.01
0.01,0.38,5,0.0025118864315095794,A,228,TrialLatin,50,0.1,0.01
1e-5,0.56,5,0.0025118864315095794,A,229,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.56,5,0.0025118864315095794,A,230,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.56,5,0.0025118864315095794,A,231,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.56,5,0.0025118864315095794,A,232,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.56,5,0.0025118864315095794,A,233,TrialLatin,50,0.1,0.01
0.01,0.56,5,0.0025118864315095794,A,234,TrialLatin,50,0.1,0.01
1e-5,0.74,5,0.0025118864315095794,A,235,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.74,5,0.0025118864315095794,A,236,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.74,5,0.0025118864315095794,A,237,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.74,5,0.0025118864315095794,A,238,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.74,5,0.0025118864315095794,A,239,TrialLatin,50,0.1,0.01
0.01,0.74,5,0.0025118864315095794,A,240,TrialLatin,50,0.1,0.01
1e-5,0.9200000000000002,5,0.0025118864315095794,A,241,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.9200000000000002,5,0.0025118864315095794,A,242,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.9200000000000002,5,0.0025118864315095794,A,243,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.9200000000000002,5,0.0025118864315095794,A,244,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.9200000000000002,5,0.0025118864315095794,A,245,TrialLatin,50,0.1,0.01
0.01,0.9200000000000002,5,0.0025118864315095794,A,246,TrialLatin,50,0.1,0.01
1e-5,1.1,5,0.0025118864315095794,A,247,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,1.1,5,0.0025118864315095794,A,248,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,1.1,5,0.0025118864315095794,A,249,TrialLatin,50,0.1,0.01
6.30957344480193e-4,1.1,5,0.0025118864315095794,A,250,TrialLatin,50,0.1,0.01
0.0025118864315095794,1.1,5,0.0025118864315095794,A,251,TrialLatin,50,0.1,0.01
0.01,1.1,5,0.0025118864315095794,A,252,TrialLatin,50,0.1,0.01
1e-5,0.2,14,0.0025118864315095794,A,253,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.2,14,0.0025118864315095794,A,254,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.2,14,0.0025118864315095794,A,255,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.2,14,0.0025118864315095794,A,256,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.2,14,0.0025118864315095794,A,257,TrialLatin,50,0.1,0.01
0.01,0.2,14,0.0025118864315095794,A,258,TrialLatin,50,0.1,0.01
