Disp,comp_str,R_max,EnvNoiseSigma,FalseAbsenceFrac,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
1e-4,1.1,20,0.001,0.2,A,260,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.001,0.2,A,261,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.001,0.2,A,262,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.001,0.2,A,263,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.001,0.2,A,264,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.001,0.2,A,265,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.001,0.2,A,266,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.001,0.2,A,267,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.001,0.2,A,268,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.001,0.2,A,269,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.001,0.2,A,270,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.01,0.2,A,271,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.01,0.2,A,272,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.01,0.2,A,273,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.01,0.2,A,274,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.01,0.2,A,275,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.01,0.2,A,276,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.01,0.2,A,277,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.01,0.2,A,278,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.01,0.2,A,279,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.01,0.2,A,280,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.01,0.2,A,281,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.01,0.2,A,282,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.01,0.2,A,283,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.01,0.2,A,284,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.01,0.2,A,285,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.01,0.2,A,286,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.01,0.2,A,287,TrialObsQual,50,0.1,0.01
