OSGR,Lat,Long,CellID_MeanTemps,MeanTemp,CellIDs_LCM,Sea / Estuary,Water (inland),Littoral rock,Littoral sediment,Saltmarsh,Supra-littoral rock,Supra-littoral sediment,Bog (deep peat) ,Dense dwarf shrub heath,Open dwarf shrub heath,Montane habitats,Broad-leaved / mixed woodland ,Coniferous woodland,Improved grassland,Neutral grassland,Setaside grassland,Bracken,Calcareous grassland,Acid grassland,"Fen, marsh, swamp",Arable cereals,Arable horticulture,Arable non-rotational,Suburban / rural developed,Continuous urban,Inland bare ground
SK6933,52.894465,-0.96837,33074,9.322867409490339,676670,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,18,0,0,0,36,0,3,18,1
SK9238,52.935939,-0.625161,32899,9.095128287453072,673193,0,0,0,0,0,0,0,0,0,0,0,14,0,65,2,5,0,0,7,0,0,3,0,0,0,0
SO7641,52.071363,-2.344262,36296,9.658888467028108,740977,0,0,0,0,0,0,0,0,0,0,0,36,2,19,0,3,0,3,0,0,0,4,0,17,11,0
ST4572,51.44885,-2.785653,38810,10.1260509225612,789246,0,1,0,0,0,0,0,0,0,0,0,36,2,47,0,0,0,5,0,0,0,0,0,0,4,0
NZ3341,54.767317,-1.48085,25507,8.24177387097441,531034,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,2,0,17,0,0,30,23,0,6,5,0
TQ1212,50.901027,-0.401518,41003,9.446492129278944,831413,0,0,0,0,0,0,0,0,0,0,0,14,0,21,0,3,0,7,0,0,1,43,0,7,0,0
NU1823,55.504928,-1.70867,22624,7.904592938543662,473619,0,2,0,0,0,0,0,0,0,0,0,4,13,7,0,0,0,5,0,0,18,47,0,1,0,0
SW7036,50.183964,-5.216146,43635,9.633670662730411,884271,0,3,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,29,0,1,9,0,1,0,0
SY1288,50.689547,-3.240077,41863,9.920573212812526,848013,0,0,0,0,0,0,0,0,0,0,0,9,0,3,5,0,0,2,1,0,0,3,0,56,15,1
NZ1631,54.678294,-1.74563,25864,8.158381667087484,538017,0,3,0,0,0,0,0,0,0,0,0,44,4,14,0,0,0,9,0,0,2,19,0,0,0,0
SZ0594,50.750076,-1.923404,41702,10.208938858944531,843906,0,0,0,0,0,0,0,0,5,1,0,1,0,9,5,0,0,0,4,0,0,0,0,54,15,1
SK1092,53.429186,-1.84344,30903,6.839400419687477,635311,0,0,0,0,0,0,0,61,12,3,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,1
SK3333,52.897906,-1.503454,33067,9.2689227189118,676634,0,0,0,0,0,0,0,0,0,0,0,3,0,9,1,0,0,0,0,0,0,2,0,82,0,0
NZ3529,54.659346,-1.451224,26048,8.151687072248754,539436,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,9,0,0,4,12,0,34,19,0
ST4971,51.440231,-2.727955,38810,10.1260509225612,789950,0,0,0,0,0,0,0,0,0,0,0,17,0,49,0,0,0,4,0,0,5,11,0,6,4,0
TQ0651,51.252733,-0.475332,39562,9.488500020934593,804107,0,0,0,0,0,0,0,0,0,0,0,33,0,6,0,0,0,20,0,0,26,6,2,4,0,0
SP4388,52.492684,-1.360743,34689,8.918101764272375,708144,0,0,0,0,0,0,0,0,0,0,0,13,0,15,8,9,0,0,0,0,14,23,0,13,1,0
SP2701,51.711564,-1.603384,37746,9.616977045792206,769028,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,58,26,0,0,0,0
SP4161,52.25012,-1.39353,35589,9.163630186416174,727042,0,0,0,0,0,0,0,0,0,0,0,7,0,19,0,2,0,22,0,0,2,6,0,29,9,1
SK6168,53.210016,-1.080598,31813,8.863542548830992,652162,0,0,0,0,0,0,0,0,0,66,0,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0
SP0813,51.820062,-1.878086,37382,8.877324207039464,760609,0,0,0,0,0,0,0,0,0,0,0,17,3,38,0,13,0,17,0,0,2,4,0,2,1,0
SU1345,51.20855,-1.808128,39723,9.399043675895854,808214,0,0,0,0,0,0,0,0,0,0,0,2,0,69,0,0,0,9,0,0,0,7,0,3,0,5
TQ3070,51.418502,-0.124657,38847,10.499306542574681,790831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,32,54,0
SU1804,50.839735,-1.738633,41344,9.612774640133633,836919,0,0,0,0,0,0,0,0,39,19,0,15,0,23,0,0,0,0,2,0,0,0,0,0,0,0
SK4910,52.689933,-1.269098,33790,8.404882414204758,692750,0,0,0,0,0,0,0,0,0,0,0,17,3,26,0,0,0,8,0,0,0,18,0,22,2,0
TQ4022,50.984767,2.88e-4,40649,9.90973080823558,824441,0,0,0,0,0,0,0,0,0,0,0,32,8,26,0,5,0,2,0,0,7,8,0,10,0,0
ST2232,51.086559,-3.107886,40245,9.269255942688371,817223,0,0,0,0,0,0,0,0,0,0,0,12,3,38,0,0,0,8,0,0,18,17,0,0,0,0
SZ5490,50.711586,-1.229468,41711,10.556413946823982,846755,0,0,0,0,0,0,0,0,0,0,0,49,0,36,0,0,0,0,0,0,0,13,0,0,0,0
SP0980,52.422409,-1.86173,34862,9.301390237765336,713710,0,1,0,0,0,0,0,0,0,0,0,1,0,6,3,1,0,0,0,0,0,2,0,79,3,0
SJ4352,53.066737,-2.844632,32329,9.566885639544235,663244,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,6,0,0,3,44,0,0,5,0
SP1712,51.810864,-1.747565,37384,9.077924873642878,761318,0,0,0,0,0,0,0,0,0,0,0,9,1,34,0,1,0,4,0,0,7,40,0,0,0,0
SW3631,50.12494,-5.687974,43808,10.336800511314651,887737,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,15,0,6,11,0,28,0,0
SK3262,53.158642,-1.515408,31987,8.260485170305294,656333,0,0,0,0,0,0,0,0,0,0,0,20,31,21,13,0,0,0,0,0,0,6,0,6,0,0
ST1932,51.086146,-3.15071,40244,9.258668709539036,817220,0,0,0,0,0,0,0,0,0,0,0,40,11,28,2,0,0,0,10,0,6,1,0,0,0,0
SY9787,50.687147,-2.036753,41880,10.176875870102652,848798,0,2,0,4,0,0,0,0,52,3,0,6,0,5,0,0,0,0,9,0,9,1,0,2,0,0
SK4451,53.058905,-1.337476,32349,8.905598001184746,664045,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,13,0,0,0,9,0,35,15,0
SK6973,53.253968,-0.959743,31634,9.117104201760416,648670,0,0,0,0,0,0,0,0,0,0,0,13,16,2,1,0,0,27,0,0,0,30,0,3,2,1
